,0,1,2,3,4,5,6,7,8,9,10
3601,other vegetables,meat spreads,specialty cheese,,,,,,,,
3602,canned beer,yogurt,,,,,,,,,
3603,cream cheese ,white bread,,,,,,,,,
3604,rolls/buns,hard cheese,,,,,,,,,
3605,whole milk,bottled water,,,,,,,,,
3606,other vegetables,white bread,,,,,,,,,
3607,fruit/vegetable juice,dental care,,,,,,,,,
3608,other vegetables,soda,,,,,,,,,
3609,other vegetables,whole milk,brown bread,hard cheese,waffles,,,,,,
3610,frankfurter,onions,,,,,,,,,
3611,whole milk,seasonal products,,,,,,,,,
3612,sausage,grapes,,,,,,,,,
3613,whole milk,frozen meals,,,,,,,,,
3614,pastry,whole milk,citrus fruit,newspapers,,,,,,,
3615,hard cheese,margarine,rolls/buns,,,,,,,,
3616,zwieback,tropical fruit,,,,,,,,,
3617,other vegetables,jam,cat food,fruit/vegetable juice,,,,,,,
3618,other vegetables,bottled beer,,,,,,,,,
3619,pork,rolls/buns,,,,,,,,,
3620,sausage,citrus fruit,,,,,,,,,
3621,citrus fruit,other vegetables,frozen vegetables,waffles,,,,,,,
3622,citrus fruit,whipped/sour cream,,,,,,,,,
3623,soda,curd,,,,,,,,,
3624,brown bread,whole milk,white bread,,,,,,,,
3625,ham,pastry,,,,,,,,,
3626,white wine,dessert,,,,,,,,,
3627,sausage,fruit/vegetable juice,,,,,,,,,
3628,sausage,curd,bottled water,frozen meals,,,,,,,
3629,bottled beer,whipped/sour cream,,,,,,,,,
3630,pork,pasta,fruit/vegetable juice,,,,,,,,
3631,beef,specialty chocolate,,,,,,,,,
3632,packaged fruit/vegetables,fish,frozen meals,specialty chocolate,brown bread,,,,,,
3633,rolls/buns,soups,,,,,,,,,
3634,yogurt,root vegetables,,,,,,,,,
3635,other vegetables,root vegetables,bottled water,,,,,,,,
3636,whole milk,beef,canned beer,,,,,,,,
3637,yogurt,cookware,,,,,,,,,
3638,turkey,yogurt,,,,,,,,,
3639,beef,brown bread,,,,,,,,,
3640,beef,whole milk,detergent,,,,,,,,
3641,root vegetables,whole milk,,,,,,,,,
3642,white bread,bottled water,,,,,,,,,
3643,brown bread,brown bread,,,,,,,,,
3644,salty snack,butter milk,,,,,,,,,
3645,pork,frozen vegetables,,,,,,,,,
3646,yogurt,frozen meals,,,,,,,,,
3647,pastry,herbs,,,,,,,,,
3648,citrus fruit,berries,,,,,,,,,
3649,salty snack,chocolate marshmallow,,,,,,,,,
3650,white bread,flour,,,,,,,,,
3651,domestic eggs,frozen vegetables,,,,,,,,,
3652,bottled water,brown bread,,,,,,,,,
3653,whole milk,fruit/vegetable juice,,,,,,,,,
3654,chicken,specialty chocolate,,,,,,,,,
3655,liqueur,chocolate,,,,,,,,,
3656,tropical fruit,butter,frozen fruits,,,,,,,,
3657,coffee,butter,,,,,,,,,
3658,margarine,bathroom cleaner,,,,,,,,,
3659,hamburger meat,whole milk,,,,,,,,,
3660,pip fruit,rolls/buns,,,,,,,,,
3661,whole milk,whole milk,,,,,,,,,
3662,soda,white wine,processed cheese,,,,,,,,
3663,berries,hamburger meat,,,,,,,,,
3664,sausage,pastry,ice cream,,,,,,,,
3665,sausage,whole milk,dessert,,,,,,,,
3666,butter milk,bottled water,,,,,,,,,
3667,bottled water,whole milk,rolls/buns,,,,,,,,
3668,rolls/buns,yogurt,fruit/vegetable juice,,,,,,,,
3669,chocolate,long life bakery product,,,,,,,,,
3670,citrus fruit,pork,napkins,domestic eggs,,,,,,,
3671,whipped/sour cream,curd,,,,,,,,,
3672,bottled beer,grapes,other vegetables,bottled water,,,,,,,
3673,soda,mustard,,,,,,,,,
3674,yogurt,flower (seeds),,,,,,,,,
3675,rolls/buns,whole milk,,,,,,,,,
3676,citrus fruit,tropical fruit,,,,,,,,,
3677,soda,newspapers,long life bakery product,,,,,,,,
3678,sausage,yogurt,,,,,,,,,
3679,white wine,butter,frozen fish,,,,,,,,
3680,tropical fruit,coffee,,,,,,,,,
3681,bottled beer,soap,,,,,,,,,
3682,butter,flour,fruit/vegetable juice,fruit/vegetable juice,,,,,,,
3683,citrus fruit,other vegetables,,,,,,,,,
3684,pork,specialty bar,soda,,,,,,,,
3685,chicken,nuts/prunes,,,,,,,,,
3686,rolls/buns,seasonal products,other vegetables,white bread,,,,,,,
3687,beef,beef,,,,,,,,,
3688,pastry,rolls/buns,,,,,,,,,
3689,chicken,rolls/buns,,,,,,,,,
3690,root vegetables,curd,waffles,,,,,,,,
3691,tropical fruit,pip fruit,root vegetables,pet care,,,,,,,
3692,soda,bottled beer,,,,,,,,,
3693,canned beer,bottled beer,yogurt,fruit/vegetable juice,,,,,,,
3694,whole milk,whole milk,whole milk,pip fruit,waffles,whole milk,coffee,chocolate,,,
3695,frozen meals,frozen dessert,,,,,,,,,
3696,other vegetables,fruit/vegetable juice,white bread,,,,,,,,
3697,other vegetables,yogurt,,,,,,,,,
3698,pet care,brown bread,,,,,,,,,
3699,soft cheese,soda,root vegetables,root vegetables,rolls/buns,root vegetables,margarine,shopping bags,,,
3700,domestic eggs,whipped/sour cream,,,,,,,,,
3701,rolls/buns,yogurt,,,,,,,,,
3702,rolls/buns,soda,,,,,,,,,
3703,canned beer,roll products ,root vegetables,flower (seeds),,,,,,,
3704,shopping bags,soda,,,,,,,,,
3705,frankfurter,berries,bottled water,processed cheese,pickled vegetables,,,,,,
3706,frankfurter,soda,canned beer,white bread,brown bread,,,,,,
3707,ham,newspapers,bottled beer,,,,,,,,
3708,citrus fruit,pip fruit,beverages,,,,,,,,
3709,cleaner,pip fruit,pastry,,,,,,,,
3710,misc. beverages,whipped/sour cream,pastry,,,,,,,,
3711,whipped/sour cream,waffles,,,,,,,,,
3712,frozen vegetables,pot plants,,,,,,,,,
3713,citrus fruit,sauces,,,,,,,,,
3714,candles,chewing gum,,,,,,,,,
3715,root vegetables,whipped/sour cream,,,,,,,,,
3716,ice cream,pork,,,,,,,,,
3717,root vegetables,citrus fruit,whole milk,chewing gum,,,,,,,
3718,canned beer,whole milk,frankfurter,frankfurter,dishes,rolls/buns,pip fruit,canned vegetables,,,
3719,brown bread,white wine,,,,,,,,,
3720,soft cheese,frozen vegetables,cream cheese ,,,,,,,,
3721,tropical fruit,butter,dog food,,,,,,,,
3722,rolls/buns,misc. beverages,ice cream,tropical fruit,shopping bags,coffee,popcorn,hygiene articles,,,
3723,dish cleaner,bottled beer,fruit/vegetable juice,,,,,,,,
3724,bottled beer,sparkling wine,hamburger meat,rolls/buns,,,,,,,
3725,root vegetables,yogurt,chocolate,shopping bags,,,,,,,
3726,butter milk,butter,,,,,,,,,
3727,beef,napkins,,,,,,,,,
3728,beef,processed cheese,other vegetables,spices,,,,,,,
3729,citrus fruit,citrus fruit,other vegetables,whole milk,,,,,,,
3730,rolls/buns,cereals,,,,,,,,,
3731,bottled water,other vegetables,,,,,,,,,
3732,pork,meat,rolls/buns,onions,frozen vegetables,root vegetables,beverages,,,,
3733,liquor,baking powder,,,,,,,,,
3734,sausage,frozen dessert,brown bread,other vegetables,,,,,,,
3735,grapes,cream cheese ,,,,,,,,,
3736,tropical fruit,butter,,,,,,,,,
3737,pip fruit,beverages,pastry,,,,,,,,
3738,beef,other vegetables,,,,,,,,,
3739,yogurt,hamburger meat,other vegetables,mustard,,,,,,,
3740,mustard,yogurt,cat food,bottled beer,,,,,,,
3741,brown bread,rolls/buns,,,,,,,,,
3742,pork,yogurt,soda,,,,,,,,
3743,bottled beer,jam,male cosmetics,dessert,,,,,,,
3744,pot plants,frozen potato products,,,,,,,,,
3745,frankfurter,coffee,,,,,,,,,
3746,dessert,photo/film,,,,,,,,,
3747,cream cheese ,whole milk,brown bread,whole milk,,,,,,,
3748,root vegetables,soda,,,,,,,,,
3749,domestic eggs,mayonnaise,,,,,,,,,
3750,whole milk,soda,,,,,,,,,
3751,pork,pastry,,,,,,,,,
3752,rolls/buns,prosecco,,,,,,,,,
3753,tropical fruit,soda,,,,,,,,,
3754,shopping bags,soda,,,,,,,,,
3755,other vegetables,yogurt,,,,,,,,,
3756,soda,whole milk,soda,specialty bar,bottled water,,,,,,
3757,yogurt,root vegetables,waffles,,,,,,,,
3758,whipped/sour cream,fruit/vegetable juice,,,,,,,,,
3759,mayonnaise,shopping bags,,,,,,,,,
3760,liquor,soda,,,,,,,,,
3761,yogurt,soda,,,,,,,,,
3762,beverages,yogurt,,,,,,,,,
3763,frankfurter,pip fruit,rolls/buns,onions,,,,,,,
3764,soda,other vegetables,,,,,,,,,
3765,UHT-milk,candles,,,,,,,,,
3766,bottled water,butter milk,,,,,,,,,
3767,rolls/buns,cling film/bags,,,,,,,,,
3768,yogurt,onions,,,,,,,,,
3769,UHT-milk,other vegetables,,,,,,,,,
3770,packaged fruit/vegetables,rolls/buns,domestic eggs,,,,,,,,
3771,yogurt,coffee,,,,,,,,,
3772,dessert,brown bread,,,,,,,,,
3773,dessert,frozen vegetables,,,,,,,,,
3774,whole milk,cake bar,,,,,,,,,
3775,other vegetables,white bread,soft cheese,,,,,,,,
3776,yogurt,bottled water,,,,,,,,,
3777,pip fruit,yogurt,syrup,,,,,,,,
3778,ice cream,yogurt,oil,,,,,,,,
3779,tropical fruit,soda,,,,,,,,,
3780,pork,rum,,,,,,,,,
3781,pip fruit,whipped/sour cream,,,,,,,,,
3782,sugar,berries,,,,,,,,,
3783,dog food,coffee,seasonal products,,,,,,,,
3784,whole milk,whipped/sour cream,,,,,,,,,
3785,tropical fruit,waffles,,,,,,,,,
3786,root vegetables,bottled beer,bottled water,,,,,,,,
3787,pip fruit,chocolate,,,,,,,,,
3788,nuts/prunes,white wine,,,,,,,,,
3789,chicken,UHT-milk,,,,,,,,,
3790,frozen potato products,bottled beer,,,,,,,,,
3791,tropical fruit,rolls/buns,,,,,,,,,
3792,frozen meals,rolls/buns,canned beer,coffee,soda,,,,,,
3793,chicken,curd,,,,,,,,,
3794,waffles,chocolate,,,,,,,,,
3795,tropical fruit,frozen meals,fruit/vegetable juice,,,,,,,,
3796,citrus fruit,candy,,,,,,,,,
3797,frankfurter,flour,,,,,,,,,
3798,citrus fruit,waffles,,,,,,,,,
3799,sausage,other vegetables,,,,,,,,,
3800,sausage,salty snack,brown bread,white bread,candles,,,,,,
3801,whipped/sour cream,other vegetables,,,,,,,,,
3802,beef,fruit/vegetable juice,,,,,,,,,
3803,hamburger meat,rolls/buns,,,,,,,,,
3804,sausage,sliced cheese,yogurt,pastry,hygiene articles,,,,,,
3805,meat,whole milk,,,,,,,,,
3806,cat food,yogurt,candy,,,,,,,,
3807,curd cheese,newspapers,UHT-milk,,,,,,,,
3808,rolls/buns,other vegetables,soft cheese,,,,,,,,
3809,herbs,pork,sugar,hard cheese,long life bakery product,,,,,,
3810,frankfurter,fruit/vegetable juice,hard cheese,whole milk,rolls/buns,,,,,,
3811,sausage,beef,white wine,other vegetables,,,,,,,
3812,spread cheese,other vegetables,,,,,,,,,
3813,tropical fruit,hard cheese,,,,,,,,,
3814,citrus fruit,bottled beer,roll products ,,,,,,,,
3815,margarine,canned beer,,,,,,,,,
3816,dessert,yogurt,,,,,,,,,
3817,cat food,whole milk,,,,,,,,,
3818,hamburger meat,pastry,cake bar,brown bread,,,,,,,
3819,coffee,bottled beer,,,,,,,,,
3820,other vegetables,margarine,,,,,,,,,
3821,misc. beverages,napkins,,,,,,,,,
3822,frozen meals,domestic eggs,domestic eggs,,,,,,,,
3823,rolls/buns,cling film/bags,,,,,,,,,
3824,dessert,flower (seeds),,,,,,,,,
3825,ham,salt,,,,,,,,,
3826,canned beer,specialty bar,,,,,,,,,
3827,meat,shopping bags,,,,,,,,,
3828,coffee,frozen vegetables,,,,,,,,,
3829,coffee,root vegetables,bottled beer,,,,,,,,
3830,yogurt,bottled water,,,,,,,,,
3831,other vegetables,cake bar,,,,,,,,,
3832,sugar,whole milk,,,,,,,,,
3833,beef,ice cream,dish cleaner,,,,,,,,
3834,frankfurter,rolls/buns,,,,,,,,,
3835,soap,berries,,,,,,,,,
3836,shopping bags,newspapers,,,,,,,,,
3837,soda,soda,salty snack,,,,,,,,
3838,ham,bottled water,,,,,,,,,
3839,other vegetables,whole milk,,,,,,,,,
3840,rolls/buns,detergent,,,,,,,,,
3841,sausage,frankfurter,grapes,sausage,dog food,misc. beverages,napkins,artif. sweetener,,,
3842,whipped/sour cream,soda,,,,,,,,,
3843,pork,tropical fruit,dessert,meat spreads,whole milk,,,,,,
3844,yogurt,sweet spreads,canned beer,pot plants,,,,,,,
3845,berries,herbs,,,,,,,,,
3846,processed cheese,hamburger meat,whole milk,,,,,,,,
3847,beef,meat spreads,,,,,,,,,
3848,shopping bags,UHT-milk,,,,,,,,,
3849,meat,rolls/buns,,,,,,,,,
3850,frankfurter,butter milk,,,,,,,,,
3851,rice,jam,,,,,,,,,
3852,white bread,frozen vegetables,,,,,,,,,
3853,other vegetables,sausage,beef,whole milk,prosecco,ice cream,waffles,,,,
3854,whole milk,soda,,,,,,,,,
3855,whipped/sour cream,soda,,,,,,,,,
3856,ice cream,onions,,,,,,,,,
3857,beef,domestic eggs,,,,,,,,,
3858,citrus fruit,curd,napkins,,,,,,,,
3859,organic sausage,grapes,pastry,,,,,,,,
3860,pastry,soda,,,,,,,,,
3861,pip fruit,pastry,,,,,,,,,
3862,sauces,rolls/buns,,,,,,,,,
3863,beef,rolls/buns,,,,,,,,,
3864,rolls/buns,whole milk,,,,,,,,,
3865,bottled beer,oil,,,,,,,,,
3866,oil,sparkling wine,,,,,,,,,
3867,rolls/buns,packaged fruit/vegetables,,,,,,,,,
3868,canned beer,white bread,,,,,,,,,
3869,newspapers,hard cheese,,,,,,,,,
3870,ham,tropical fruit,popcorn,,,,,,,,
3871,chicken,oil,chocolate,candy,,,,,,,
3872,beverages,sugar,,,,,,,,,
3873,root vegetables,yogurt,,,,,,,,,
3874,soda,rolls/buns,soda,,,,,,,,
3875,condensed milk,rolls/buns,,,,,,,,,
3876,margarine,long life bakery product,,,,,,,,,
3877,dessert,zwieback,,,,,,,,,
3878,detergent,liquor (appetizer),,,,,,,,,
3879,grapes,grapes,,,,,,,,,
3880,tropical fruit,shopping bags,cream cheese ,pasta,,,,,,,
3881,hygiene articles,brown bread,,,,,,,,,
3882,pip fruit,other vegetables,,,,,,,,,
3883,curd,newspapers,,,,,,,,,
3884,yogurt,root vegetables,,,,,,,,,
3885,meat,pork,,,,,,,,,
3886,waffles,brown bread,,,,,,,,,
3887,other vegetables,curd,,,,,,,,,
3888,shopping bags,fruit/vegetable juice,,,,,,,,,
3889,tropical fruit,other vegetables,pastry,tropical fruit,long life bakery product,bottled water,UHT-milk,fruit/vegetable juice,,,
3890,bottled water,rolls/buns,,,,,,,,,
3891,yogurt,butter,whole milk,,,,,,,,
3892,pip fruit,pastry,,,,,,,,,
3893,domestic eggs,shopping bags,,,,,,,,,
3894,meat,semi-finished bread,,,,,,,,,
3895,tropical fruit,other vegetables,soft cheese,,,,,,,,
3896,whole milk,pickled vegetables,,,,,,,,,
3897,frozen vegetables,whole milk,,,,,,,,,
3898,soda,brandy,,,,,,,,,
3899,yogurt,whole milk,,,,,,,,,
3900,pork,grapes,,,,,,,,,
3901,pork,sweet spreads,,,,,,,,,
3902,pork,bottled water,tea,,,,,,,,
3903,dessert,pork,,,,,,,,,
3904,waffles,semi-finished bread,,,,,,,,,
3905,tropical fruit,cat food,,,,,,,,,
3906,sausage,newspapers,,,,,,,,,
3907,meat,canned beer,soda,,,,,,,,
3908,pip fruit,frozen vegetables,bottled water,,,,,,,,
3909,semi-finished bread,pip fruit,,,,,,,,,
3910,root vegetables,fruit/vegetable juice,,,,,,,,,
3911,hamburger meat,frozen vegetables,,,,,,,,,
3912,whole milk,berries,,,,,,,,,
3913,rolls/buns,other vegetables,,,,,,,,,
3914,pork,sugar,,,,,,,,,
3915,other vegetables,other vegetables,whole milk,,,,,,,,
3916,ham,dessert,,,,,,,,,
3917,pork,grapes,,,,,,,,,
3918,tropical fruit,whole milk,,,,,,,,,
3919,UHT-milk,rolls/buns,,,,,,,,,
3920,whipped/sour cream,other vegetables,,,,,,,,,
3921,flour,cream cheese ,,,,,,,,,
3922,meat,rolls/buns,,,,,,,,,
3923,rolls/buns,other vegetables,newspapers,,,,,,,,
3924,photo/film,domestic eggs,cocoa drinks,,,,,,,,
3925,whole milk,pork,brown bread,other vegetables,,,,,,,
3926,other vegetables,beverages,fruit/vegetable juice,prosecco,other vegetables,ice cream,soda,root vegetables,,,
3927,frankfurter,frankfurter,long life bakery product,newspapers,pip fruit,whipped/sour cream,hygiene articles,,,,
3928,canned beer,beef,whole milk,coffee,,,,,,,
3929,rolls/buns,soda,,,,,,,,,
3930,cereals,cream cheese ,other vegetables,,,,,,,,
3931,citrus fruit,yogurt,rolls/buns,,,,,,,,
3932,white bread,liquor (appetizer),shopping bags,,,,,,,,
3933,yogurt,chewing gum,shopping bags,,,,,,,,
3934,butter,citrus fruit,margarine,soda,whole milk,roll products ,,,,,
3935,yogurt,rolls/buns,soda,,,,,,,,
3936,brown bread,domestic eggs,,,,,,,,,
3937,sausage,soda,newspapers,,,,,,,,
3938,sausage,beverages,,,,,,,,,
3939,newspapers,chicken,pip fruit,,,,,,,,
3940,photo/film,other vegetables,,,,,,,,,
3941,other vegetables,sugar,,,,,,,,,
3942,processed cheese,canned vegetables,,,,,,,,,
3943,root vegetables,whole milk,potato products,,,,,,,,
3944,hard cheese,flower soil/fertilizer,condensed milk,curd,,,,,,,
3945,citrus fruit,soda,,,,,,,,,
3946,beef,bottled water,soda,,,,,,,,
3947,newspapers,root vegetables,pastry,margarine,,,,,,,
3948,tropical fruit,UHT-milk,,,,,,,,,
3949,citrus fruit,soda,shopping bags,,,,,,,,
3950,rolls/buns,other vegetables,,,,,,,,,
3951,frozen vegetables,pip fruit,hygiene articles,,,,,,,,
3952,yogurt,other vegetables,red/blush wine,domestic eggs,,,,,,,
3953,soda,chocolate marshmallow,fruit/vegetable juice,,,,,,,,
3954,tropical fruit,long life bakery product,,,,,,,,,
3955,sausage,curd,yogurt,,,,,,,,
3956,ham,domestic eggs,,,,,,,,,
3957,whole milk,napkins,,,,,,,,,
3958,salty snack,soups,brown bread,,,,,,,,
3959,pip fruit,specialty fat,,,,,,,,,
3960,misc. beverages,whole milk,,,,,,,,,
3961,beef,flower (seeds),,,,,,,,,
3962,sausage,sparkling wine,,,,,,,,,
3963,tropical fruit,tropical fruit,tropical fruit,long life bakery product,soda,,,,,,
3964,domestic eggs,whole milk,onions,misc. beverages,,,,,,,
3965,pork,bottled beer,,,,,,,,,
3966,whole milk,shopping bags,,,,,,,,,
3967,brandy,pastry,,,,,,,,,
3968,onions,other vegetables,,,,,,,,,
3969,frankfurter,sliced cheese,sugar,,,,,,,,
3970,sausage,cream cheese ,,,,,,,,,
3971,newspapers,soups,,,,,,,,,
3972,root vegetables,herbs,,,,,,,,,
3973,pork,oil,,,,,,,,,
3974,salad dressing,hard cheese,,,,,,,,,
3975,whole milk,rolls/buns,ice cream,brown bread,,,,,,,
3976,sausage,white bread,,,,,,,,,
3977,soda,other vegetables,,,,,,,,,
3978,specialty bar,pastry,,,,,,,,,
3979,soda,sugar,,,,,,,,,
3980,waffles,whipped/sour cream,soda,,,,,,,,
3981,pip fruit,other vegetables,coffee,,,,,,,,
3982,frozen vegetables,flour,pickled vegetables,,,,,,,,
3983,specialty chocolate,yogurt,hard cheese,pastry,,,,,,,
3984,whole milk,yogurt,pasta,,,,,,,,
3985,pip fruit,zwieback,,,,,,,,,
3986,canned beer,brown bread,,,,,,,,,
3987,beverages,bottled water,yogurt,,,,,,,,
3988,jam,root vegetables,,,,,,,,,
3989,root vegetables,meat,,,,,,,,,
3990,yogurt,specialty vegetables,,,,,,,,,
3991,female sanitary products,cleaner,coffee,sauces,,,,,,,
3992,whole milk,rolls/buns,,,,,,,,,
3993,sausage,rolls/buns,,,,,,,,,
3994,frankfurter,whole milk,,,,,,,,,
3995,root vegetables,napkins,,,,,,,,,
3996,canned fish,newspapers,,,,,,,,,
3997,chicken,fruit/vegetable juice,,,,,,,,,
3998,citrus fruit,sugar,,,,,,,,,
3999,pork,specialty chocolate,,,,,,,,,
4000,pip fruit,candy,,,,,,,,,
4001,skin care,oil,,,,,,,,,
4002,root vegetables,domestic eggs,cake bar,napkins,,,,,,,
4003,pot plants,frozen dessert,,,,,,,,,
4004,citrus fruit,yogurt,citrus fruit,other vegetables,,,,,,,
4005,sausage,spread cheese,bottled water,,,,,,,,
4006,frankfurter,oil,soda,,,,,,,,
4007,ice cream,pip fruit,,,,,,,,,
4008,baby cosmetics,bottled water,,,,,,,,,
4009,citrus fruit,specialty bar,Instant food products,jam,,,,,,,
4010,pip fruit,butter,,,,,,,,,
4011,whole milk,canned beer,,,,,,,,,
4012,beef,whole milk,,,,,,,,,
4013,newspapers,salty snack,,,,,,,,,
4014,root vegetables,chewing gum,margarine,,,,,,,,
4015,processed cheese,chocolate,chocolate,yogurt,,,,,,,
4016,pip fruit,root vegetables,,,,,,,,,
4017,frankfurter,other vegetables,,,,,,,,,
4018,sausage,whole milk,,,,,,,,,
4019,rolls/buns,canned fish,chocolate,,,,,,,,
4020,tropical fruit,herbs,,,,,,,,,
4021,frankfurter,domestic eggs,,,,,,,,,
4022,other vegetables,candy,,,,,,,,,
4023,oil,chicken,,,,,,,,,
4024,citrus fruit,canned beer,waffles,chocolate,dish cleaner,,,,,,
4025,bottled water,UHT-milk,,,,,,,,,
4026,citrus fruit,rolls/buns,,,,,,,,,
4027,sausage,soda,,,,,,,,,
4028,baking powder,root vegetables,,,,,,,,,
4029,softener,salty snack,,,,,,,,,
4030,hygiene articles,rolls/buns,,,,,,,,,
4031,bottled beer,whole milk,,,,,,,,,
4032,frankfurter,margarine,,,,,,,,,
4033,male cosmetics,hard cheese,,,,,,,,,
4034,beef,whole milk,,,,,,,,,
4035,chicken,citrus fruit,butter,rolls/buns,soft cheese,specialty bar,,,,,
4036,bottled water,roll products ,butter,coffee,rum,,,,,,
4037,soda,shopping bags,cream cheese ,,,,,,,,
4038,tropical fruit,pork,newspapers,,,,,,,,
4039,sliced cheese,beverages,other vegetables,napkins,,,,,,,
4040,tropical fruit,soda,,,,,,,,,
4041,turkey,domestic eggs,,,,,,,,,
4042,soda,whole milk,shopping bags,,,,,,,,
4043,curd,whole milk,pet care,,,,,,,,
4044,canned beer,specialty vegetables,long life bakery product,,,,,,,,
4045,tropical fruit,whole milk,,,,,,,,,
4046,hamburger meat,seasonal products,,,,,,,,,
4047,hamburger meat,whole milk,,,,,,,,,
4048,tropical fruit,citrus fruit,frankfurter,spices,butter milk,UHT-milk,,,,,
4049,fruit/vegetable juice,butter,rolls/buns,,,,,,,,
4050,UHT-milk,pastry,bottled water,,,,,,,,
4051,frankfurter,other vegetables,,,,,,,,,
4052,brown bread,domestic eggs,,,,,,,,,
4053,brown bread,coffee,,,,,,,,,
4054,brandy,whole milk,whole milk,bottled water,,,,,,,
4055,sausage,other vegetables,,,,,,,,,
4056,tropical fruit,grapes,ice cream,sweet spreads,,,,,,,
4057,beverages,cat food,,,,,,,,,
4058,root vegetables,root vegetables,,,,,,,,,
4059,soda,domestic eggs,,,,,,,,,
4060,beef,pip fruit,,,,,,,,,
4061,pip fruit,domestic eggs,,,,,,,,,
4062,soda,candy,,,,,,,,,
4063,bottled water,root vegetables,,,,,,,,,
4064,soda,whole milk,,,,,,,,,
4065,sparkling wine,liquor,detergent,,,,,,,,
4066,root vegetables,butter,,,,,,,,,
4067,napkins,frozen vegetables,,,,,,,,,
4068,frankfurter,chicken,meat,bottled beer,other vegetables,pastry,misc. beverages,root vegetables,salt,,
4069,whole milk,dog food,,,,,,,,,
4070,seasonal products,pickled vegetables,,,,,,,,,
4071,other vegetables,citrus fruit,,,,,,,,,
4072,tropical fruit,whole milk,brown bread,pastry,,,,,,,
4073,root vegetables,newspapers,dishes,,,,,,,,
4074,yogurt,pastry,,,,,,,,,
4075,pastry,margarine,,,,,,,,,
4076,soda,other vegetables,,,,,,,,,
4077,bottled beer,pasta,,,,,,,,,
4078,canned beer,grapes,UHT-milk,brown bread,,,,,,,
4079,whole milk,cream cheese ,,,,,,,,,
4080,grapes,curd,,,,,,,,,
4081,canned beer,hard cheese,,,,,,,,,
4082,photo/film,vinegar,,,,,,,,,
4083,ice cream,candy,canned beer,,,,,,,,
4084,citrus fruit,onions,,,,,,,,,
4085,pet care,brown bread,pastry,dish cleaner,,,,,,,
4086,salty snack,salty snack,canned fish,,,,,,,,
4087,salty snack,bottled water,,,,,,,,,
4088,sausage,pip fruit,tropical fruit,pasta,rolls/buns,beverages,brown bread,,,,
4089,sausage,rum,,,,,,,,,
4090,newspapers,root vegetables,margarine,,,,,,,,
4091,napkins,canned vegetables,,,,,,,,,
4092,whole milk,other vegetables,,,,,,,,,
4093,whipped/sour cream,waffles,,,,,,,,,
4094,tropical fruit,oil,,,,,,,,,
4095,whipped/sour cream,specialty bar,,,,,,,,,
4096,frozen potato products,whole milk,pastry,rolls/buns,candy,bottled beer,,,,,
4097,whole milk,whole milk,,,,,,,,,
4098,bottled water,coffee,,,,,,,,,
4099,other vegetables,shopping bags,,,,,,,,,
4100,pip fruit,frozen meals,whole milk,rolls/buns,,,,,,,
4101,beverages,other vegetables,,,,,,,,,
4102,sausage,soda,,,,,,,,,
4103,white wine,newspapers,dog food,,,,,,,,
4104,rolls/buns,processed cheese,,,,,,,,,
4105,chicken,yogurt,newspapers,shopping bags,rolls/buns,domestic eggs,,,,,
4106,tropical fruit,rolls/buns,fruit/vegetable juice,canned beer,,,,,,,
4107,pastry,misc. beverages,flour,,,,,,,,
4108,chocolate,butter,,,,,,,,,
4109,condensed milk,yogurt,,,,,,,,,
4110,dessert,other vegetables,,,,,,,,,
4111,frankfurter,ice cream,specialty cheese,coffee,,,,,,,
4112,dishes,tropical fruit,,,,,,,,,
4113,frankfurter,citrus fruit,whole milk,,,,,,,,
4114,UHT-milk,citrus fruit,,,,,,,,,
4115,root vegetables,domestic eggs,chocolate,,,,,,,,
4116,citrus fruit,onions,,,,,,,,,
4117,sausage,frozen vegetables,onions,canned beer,,,,,,,
4118,root vegetables,pet care,,,,,,,,,
4119,butter,yogurt,,,,,,,,,
4120,fruit/vegetable juice,beef,,,,,,,,,
4121,rolls/buns,root vegetables,,,,,,,,,
4122,rolls/buns,soda,other vegetables,vinegar,,,,,,,
4123,frozen meals,dessert,,,,,,,,,
4124,pastry,domestic eggs,bottled water,,,,,,,,
4125,whole milk,berries,,,,,,,,,
4126,berries,candy,,,,,,,,,
4127,yogurt,cream cheese ,,,,,,,,,
4128,curd,rolls/buns,,,,,,,,,
4129,bottled water,tropical fruit,shopping bags,,,,,,,,
4130,pastry,fruit/vegetable juice,,,,,,,,,
4131,other vegetables,whole milk,,,,,,,,,
4132,bottled water,other vegetables,,,,,,,,,
4133,whole milk,cream cheese ,,,,,,,,,
4134,frankfurter,cream cheese ,yogurt,baking powder,,,,,,,
4135,other vegetables,salty snack,,,,,,,,,
4136,whole milk,coffee,,,,,,,,,
4137,rolls/buns,canned beer,,,,,,,,,
4138,pip fruit,newspapers,,,,,,,,,
4139,coffee,frankfurter,frankfurter,bottled beer,butter,margarine,sugar,brown bread,soda,,
4140,frankfurter,bottled water,,,,,,,,,
4141,beverages,whipped/sour cream,,,,,,,,,
4142,tropical fruit,tropical fruit,mayonnaise,,,,,,,,
4143,tropical fruit,yogurt,,,,,,,,,
4144,oil,whipped/sour cream,,,,,,,,,
4145,bottled beer,bottled water,,,,,,,,,
4146,yogurt,male cosmetics,sugar,salt,,,,,,,
4147,sausage,tropical fruit,,,,,,,,,
4148,whole milk,newspapers,,,,,,,,,
4149,coffee,domestic eggs,,,,,,,,,
4150,frankfurter,tropical fruit,frozen meals,soda,,,,,,,
